,P7,ingles
603,moratoria,moratorium
604,tuve que crear un reclamo para mi expediente electronico porque no tuve respuesta hay un sector de chat habilitado el cual no responden dejo el expediente para ver si pueden apresurar algo ee-19686-2021,"I had to create a claim for my electronic file because I did not respond. There is a chat sector enabled which do not respond, I leave the file to see if they can hurry something EE-19686-2021"
605,puse que el tramite fue resuelto en forma muy satisfactoria pero aun no lo se porque lo acabo de presentar,I put that the process was resolved very satisfactory but I still do not know why I just presented it
606,sellado de impuestos sea de manera presencial,Tax sealing is in a face-to-face
607,resolver las paginas de error de forma urgente es un punto ciego en el resultado de un tramite,Solving the error pages urgently is a blind spot on the result of a process
608,en realidad no puedo entender porque para cobrar esta regulado para algunos casos con dgr y para otros no el tramite en dgr es en vano no creo que sea falla tecnologica,Actually I can not understand because to charge this regulated for some cases with DGR and for others not the process in DGR is in vain I do not think it is a technological failure
609,como agente de retencion seria oportuno poder visualizar las exenciones de los contribuyentes  que  tienen relacion con la entidad,"As a retention agent, it would be opportune to visualize the exemptions of taxpayers who have the entity relationship"
610,deberia tener ayuda atraves asistente de persona para guiar al contribuyente por escrito no es suficiente hay personas que no saben hacerlo ,should have help through person assistant to guide the taxpayer in writing is not enough there are people who do not know how to do it
611,la pestaña de formulacion de tramite on line seria mas visible en el mismo encabezado  y me caduco la sesion porque crei que la redaccion de la nota se hacia en la misma pagina sugeriria que pongan antes de iniciar un expediente un  aviso que diga al usuario que haga la nota en word u otro formato para ser adjuntada ,The Online Tramite Formulation tab would be more visible in the Header and the session was expired because I thought that the editorial of the note will be on the same page I would suggest before starting a file a warning that says the user who does The note in Word or another format to be attached
612,"en cuatro meses no se movio el expediente  id 130184 numero de expediente ee-56348-2020
","In four months I did not move the file ID 130184 file number EE-56348-2020
"
613,es complicado obtener boletas anteriores del impuesto inmobiliario,It is complicated to get previous real estate tax ballots
614,muy malo el servicio de atencion al publico en forma personal no todo se puede solucionar en forma electronica,very bad the service of attention to the public personally not everything can be solved electronically
615,soy el contador del contribuyente algunas funcionalidades podrian ser mejoradas,I am the contributor counter some functionalities could be improved
616,tendria que ser mas amplia la explicacion para realizar los tramites y un numero para que te atienda una persona real y explique cuando no se puede realizar un tramite virtual,I would have to be more extensive the explanation to perform the procedures and a number to attend a real person and explain when a virtual process can not be done
617,diseño poco responsivo y con tecnologias antiguas ,Little responsive design and with ancient technologies
618,quiero cambiar el domicilio no se como,I want to change the address I do not know how
619,facil agil y practica,Easy Agile and Practice
620,siempre me han respondido satifactoriamente en mis tramites pero el ultimo que hice aun nada y ya lleva 10 dias de iniciado,I have always been answered satifactively on my processing but the last one I did not even have nothing and already 10 days of initiate
